value,percentage,datetime
123.83,0.6616264159008335,2024-01-01T00:00:00.000+01:00
111.11,0.6892679900744417,2024-01-01T01:00:00.000+01:00
110.77,0.6998799519807923,2024-01-01T02:00:00.000+01:00
109.28,0.7152768687000917,2024-01-01T03:00:00.000+01:00
110.16,0.7216035634743875,2024-01-01T04:00:00.000+01:00
111.47,0.7259051836415733,2024-01-01T05:00:00.000+01:00
109.95,0.7212200721548049,2024-01-01T06:00:00.000+01:00
106.89,0.715078940326465,2024-01-01T07:00:00.000+01:00
107.31,0.7121714892487391,2024-01-01T08:00:00.000+01:00
103.25,0.7094269616600247,2024-01-01T09:00:00.000+01:00
76.42,0.7535002957996451,2024-01-01T10:00:00.000+01:00
47.6,0.9242718446601942,2024-01-01T11:00:00.000+01:00
46.4,0.9354838709677419,2024-01-01T12:00:00.000+01:00
44.73,0.9559734986108143,2024-01-01T13:00:00.000+01:00
44.17,0.9623093681917212,2024-01-01T14:00:00.000+01:00
51.29,0.899666725135941,2024-01-01T15:00:00.000+01:00
68.26,0.7868587896253603,2024-01-01T16:00:00.000+01:00
88.6,0.7054140127388535,2024-01-01T17:00:00.000+01:00
96.15,0.6693351896971806,2024-01-01T18:00:00.000+01:00
103.34,0.6527698818773293,2024-01-01T19:00:00.000+01:00
110.1,0.643859649122807,2024-01-01T20:00:00.000+01:00
110.04,0.6471418489767113,2024-01-01T21:00:00.000+01:00
94.09,0.664524330814323,2024-01-01T22:00:00.000+01:00
88.48,0.6776441755380257,2024-01-01T23:00:00.000+01:00
91.46,0.7075661457527465,2024-01-02T00:00:00.000+01:00
76.88,0.7546132705143306,2024-01-02T01:00:00.000+01:00
56.3,0.9338198706253109,2024-01-02T02:00:00.000+01:00
68.42,0.8301383159427324,2024-01-02T03:00:00.000+01:00
63.93,0.8647369132963614,2024-01-02T04:00:00.000+01:00
67.19,0.8220971491496392,2024-01-02T05:00:00.000+01:00
89.71,0.7119841269841269,2024-01-02T06:00:00.000+01:00
93.24,0.675946063505872,2024-01-02T07:00:00.000+01:00
125.91,0.7007067727753353,2024-01-02T08:00:00.000+01:00
122.36,0.6929044679766692,2024-01-02T09:00:00.000+01:00
166.54,0.7690957790708414,2024-01-02T10:00:00.000+01:00
168.85,0.7638543315991856,2024-01-02T11:00:00.000+01:00
160.32,0.7808299240210403,2024-01-02T12:00:00.000+01:00
157.66,0.7857071663510415,2024-01-02T13:00:00.000+01:00
108.08,0.7153825787662167,2024-01-02T14:00:00.000+01:00
106.14,0.721402841024944,2024-01-02T15:00:00.000+01:00
109.95,0.7157737126489161,2024-01-02T16:00:00.000+01:00
122.86,0.7018165200502685,2024-01-02T17:00:00.000+01:00
178.28,0.7552637153145519,2024-01-02T18:00:00.000+01:00
183.55,0.7461382113821139,2024-01-02T19:00:00.000+01:00
178.35,0.754601226993865,2024-01-02T20:00:00.000+01:00
173.51,0.7665900857117611,2024-01-02T21:00:00.000+01:00
115.47,0.7139677239844185,2024-01-02T22:00:00.000+01:00
106.55,0.7265598363450392,2024-01-02T23:00:00.000+01:00
43.14,0.8638366039247097,2024-01-03T00:00:00.000+01:00
39.37,0.9248296922715527,2024-01-03T01:00:00.000+01:00
40.27,0.926386013342535,2024-01-03T02:00:00.000+01:00
39.27,0.9246526960207204,2024-01-03T03:00:00.000+01:00
39.72,0.9254426840633737,2024-01-03T04:00:00.000+01:00
38.3,0.9454455689953097,2024-01-03T05:00:00.000+01:00
40.71,0.894921960870521,2024-01-03T06:00:00.000+01:00
88.47,0.6607663006946001,2024-01-03T07:00:00.000+01:00
129.54,0.6765904105296145,2024-01-03T08:00:00.000+01:00
134.79,0.6679716536993905,2024-01-03T09:00:00.000+01:00
180.64,0.7396003930560104,2024-01-03T10:00:00.000+01:00
172.19,0.7509703868463518,2024-01-03T11:00:00.000+01:00
169.62,0.7551420176297747,2024-01-03T12:00:00.000+01:00
169.46,0.7535574528637496,2024-01-03T13:00:00.000+01:00
126.23,0.6741975110826256,2024-01-03T14:00:00.000+01:00
133.38,0.668873175868813,2024-01-03T15:00:00.000+01:00
135.56,0.6675201890880442,2024-01-03T16:00:00.000+01:00
160.46,0.641762988441387,2024-01-03T17:00:00.000+01:00
216.52,0.6968331616889804,2024-01-03T18:00:00.000+01:00
229.24,0.6871908630354626,2024-01-03T19:00:00.000+01:00
240.35,0.6797036282910551,2024-01-03T20:00:00.000+01:00
241.78,0.680993690851735,2024-01-03T21:00:00.000+01:00
168.74,0.6417433635049822,2024-01-03T22:00:00.000+01:00
156.73,0.6441576589535982,2024-01-03T23:00:00.000+01:00
133.92,0.5970308947438812,2024-01-04T00:00:00.000+01:00
132.54,0.6037168625307461,2024-01-04T01:00:00.000+01:00
128.7,0.6160547604231488,2024-01-04T02:00:00.000+01:00
115.84,0.6229966655910509,2024-01-04T03:00:00.000+01:00
112.04,0.6262716601453326,2024-01-04T04:00:00.000+01:00
111.53,0.6207491512216842,2024-01-04T05:00:00.000+01:00
131.04,0.6017081458352466,2024-01-04T06:00:00.000+01:00
133.45,0.5854097210036848,2024-01-04T07:00:00.000+01:00
158.58,0.6229083195851992,2024-01-04T08:00:00.000+01:00
161.8,0.6224752818066402,2024-01-04T09:00:00.000+01:00
208.95,0.6874485935186708,2024-01-04T10:00:00.000+01:00
203.28,0.6922998331233184,2024-01-04T11:00:00.000+01:00
201.95,0.6941055164117546,2024-01-04T12:00:00.000+01:00
197.08,0.6962973431317129,2024-01-04T13:00:00.000+01:00
154.09,0.6258732737611699,2024-01-04T14:00:00.000+01:00
162.32,0.6220587108147466,2024-01-04T15:00:00.000+01:00
164.29,0.6228060199401039,2024-01-04T16:00:00.000+01:00
166.31,0.6244977657617062,2024-01-04T17:00:00.000+01:00
216.76,0.678796229605737,2024-01-04T18:00:00.000+01:00
219.31,0.6783273019702453,2024-01-04T19:00:00.000+01:00
221.77,0.6782994341642452,2024-01-04T20:00:00.000+01:00
